,subst,c,date,power,it,run
205,Pentan,101.5,17.12.2021,34.0,5.0,6
122,Pentan,52.3,05.01.2022,24.0,5.0,3
26,Pentan,49.5,17.12.2021,24.0,5.0,6
197,Pentan,49.5,17.12.2021,34.0,10.0,8
229,Pentan,19.8,05.01.2022,34.0,5.0,10
173,Pentan,20.0,17.12.2021,34.0,10.0,4
194,Pentan,49.5,17.12.2021,34.0,10.0,5
304,Pentan,100.8,05.01.2022,34.0,5.0,5
140,Pentan,100.8,05.01.2022,24.0,5.0,1
14,Pentan,20.0,17.12.2021,24.0,10.0,4
301,Pentan,100.8,05.01.2022,34.0,5.0,2
86,Pentan,48.3,05.01.2022,24.0,5.0,7
179,Pentan,20.0,17.12.2021,34.0,10.0,10
64,Pentan,19.8,05.01.2022,24.0,5.0,5
27,Pentan,49.5,17.12.2021,24.0,5.0,7
45,Pentan,101.5,17.12.2021,24.0,5.0,6
44,Pentan,101.5,17.12.2021,24.0,5.0,5
154,Pentan,100.8,05.01.2022,24.0,10.0,5
208,Pentan,101.5,17.12.2021,34.0,5.0,9
130,Pentan,52.3,05.01.2022,24.0,10.0,1
71,Pentan,19.8,05.01.2022,24.0,10.0,2
245,Pentan,48.3,05.01.2022,34.0,5.0,6
31,Pentan,49.5,17.12.2021,24.0,10.0,2
287,Pentan,52.3,05.01.2022,34.0,5.0,8
198,Pentan,49.5,17.12.2021,34.0,10.0,9
61,Pentan,19.8,05.01.2022,24.0,5.0,2
188,Pentan,49.5,17.12.2021,34.0,5.0,9
185,Pentan,49.5,17.12.2021,34.0,5.0,6
144,Pentan,100.8,05.01.2022,24.0,5.0,5
9,Pentan,20.0,17.12.2021,24.0,5.0,10
226,Pentan,19.8,05.01.2022,34.0,5.0,7
283,Pentan,52.3,05.01.2022,34.0,5.0,4
161,Pentan,20.0,17.12.2021,34.0,5.0,2
180,Pentan,49.5,17.12.2021,34.0,5.0,1
316,Pentan,100.8,05.01.2022,34.0,10.0,6
47,Pentan,101.5,17.12.2021,24.0,5.0,8
37,Pentan,49.5,17.12.2021,24.0,10.0,8
15,Pentan,20.0,17.12.2021,24.0,10.0,5
101,Pentan,49.7,05.01.2022,24.0,5.0,2
6,Pentan,20.0,17.12.2021,24.0,5.0,7
228,Pentan,19.8,05.01.2022,34.0,5.0,9
237,Pentan,19.8,05.01.2022,34.0,10.0,8
250,Pentan,48.3,05.01.2022,34.0,10.0,1
212,Pentan,101.5,17.12.2021,34.0,10.0,3
156,Pentan,100.8,05.01.2022,24.0,10.0,7
300,Pentan,100.8,05.01.2022,34.0,5.0,1
159,Pentan,100.8,05.01.2022,24.0,10.0,10
19,Pentan,20.0,17.12.2021,24.0,10.0,9
133,Pentan,52.3,05.01.2022,24.0,10.0,4
22,Pentan,49.5,17.12.2021,24.0,5.0,2
40,Pentan,101.5,17.12.2021,24.0,5.0,1
2,Pentan,20.0,17.12.2021,24.0,5.0,3
217,Pentan,101.5,17.12.2021,34.0,10.0,8
298,Pentan,52.3,05.01.2022,34.0,10.0,9
290,Pentan,52.3,05.01.2022,34.0,10.0,1
193,Pentan,49.5,17.12.2021,34.0,10.0,4
272,Pentan,49.7,05.01.2022,34.0,10.0,3
253,Pentan,48.3,05.01.2022,34.0,10.0,4
8,Pentan,20.0,17.12.2021,24.0,5.0,9
204,Pentan,101.5,17.12.2021,34.0,5.0,5
3,Pentan,20.0,17.12.2021,24.0,5.0,4
177,Pentan,20.0,17.12.2021,34.0,10.0,8
257,Pentan,48.3,05.01.2022,34.0,10.0,8
54,Pentan,101.5,17.12.2021,24.0,10.0,5
146,Pentan,100.8,05.01.2022,24.0,5.0,7
132,Pentan,52.3,05.01.2022,24.0,10.0,3
178,Pentan,20.0,17.12.2021,34.0,10.0,9
137,Pentan,52.3,05.01.2022,24.0,10.0,8
53,Pentan,101.5,17.12.2021,24.0,10.0,4
202,Pentan,101.5,17.12.2021,34.0,5.0,3
269,Pentan,49.7,05.01.2022,34.0,5.0,10
292,Pentan,52.3,05.01.2022,34.0,10.0,3
169,Pentan,20.0,17.12.2021,34.0,5.0,10
29,Pentan,49.5,17.12.2021,24.0,5.0,9
76,Pentan,19.8,05.01.2022,24.0,10.0,7
42,Pentan,101.5,17.12.2021,24.0,5.0,3
46,Pentan,101.5,17.12.2021,24.0,5.0,7
280,Pentan,52.3,05.01.2022,34.0,5.0,1
1,Pentan,20.0,17.12.2021,24.0,5.0,2
87,Pentan,48.3,05.01.2022,24.0,5.0,8
235,Pentan,19.8,05.01.2022,34.0,10.0,6
139,Pentan,52.3,05.01.2022,24.0,10.0,10
96,Pentan,48.3,05.01.2022,24.0,10.0,7
136,Pentan,52.3,05.01.2022,24.0,10.0,7
70,Pentan,19.8,05.01.2022,24.0,10.0,1
276,Pentan,49.7,05.01.2022,34.0,10.0,7
120,Pentan,52.3,05.01.2022,24.0,5.0,1
59,Pentan,101.5,17.12.2021,24.0,10.0,10
230,Pentan,19.8,05.01.2022,34.0,10.0,1
225,Pentan,19.8,05.01.2022,34.0,5.0,6
267,Pentan,49.7,05.01.2022,34.0,5.0,8
5,Pentan,20.0,17.12.2021,24.0,5.0,6
317,Pentan,100.8,05.01.2022,34.0,10.0,7
107,Pentan,49.7,05.01.2022,24.0,5.0,8
98,Pentan,48.3,05.01.2022,24.0,10.0,9
30,Pentan,49.5,17.12.2021,24.0,10.0,1
65,Pentan,19.8,05.01.2022,24.0,5.0,6
255,Pentan,48.3,05.01.2022,34.0,10.0,6
151,Pentan,100.8,05.01.2022,24.0,10.0,2
68,Pentan,19.8,05.01.2022,24.0,5.0,9
234,Pentan,19.8,05.01.2022,34.0,10.0,5
52,Pentan,101.5,17.12.2021,24.0,10.0,3
60,Pentan,19.8,05.01.2022,24.0,5.0,1
285,Pentan,52.3,05.01.2022,34.0,5.0,6
163,Pentan,20.0,17.12.2021,34.0,5.0,4
74,Pentan,19.8,05.01.2022,24.0,10.0,5
55,Pentan,101.5,17.12.2021,24.0,10.0,6
141,Pentan,100.8,05.01.2022,24.0,5.0,2
320,Pentan,100.8,05.01.2022,34.0,10.0,10
172,Pentan,20.0,17.12.2021,34.0,10.0,3
125,Pentan,52.3,05.01.2022,24.0,5.0,6
211,Pentan,101.5,17.12.2021,34.0,10.0,2
25,Pentan,49.5,17.12.2021,24.0,5.0,5
82,Pentan,48.3,05.01.2022,24.0,5.0,3
20,Pentan,20.0,17.12.2021,24.0,10.0,10
62,Pentan,19.8,05.01.2022,24.0,5.0,3
41,Pentan,101.5,17.12.2021,24.0,5.0,2
315,Pentan,100.8,05.01.2022,34.0,10.0,5
81,Pentan,48.3,05.01.2022,24.0,5.0,2
116,Pentan,49.7,05.01.2022,24.0,10.0,7
281,Pentan,52.3,05.01.2022,34.0,5.0,2
80,Pentan,48.3,05.01.2022,24.0,5.0,1
192,Pentan,49.5,17.12.2021,34.0,10.0,3
249,Pentan,48.3,05.01.2022,34.0,5.0,10
