,subst,c,date,power,it,run
113,Pentan,49.7,05.01.2022,24.0,10.0,4
114,Pentan,49.7,05.01.2022,24.0,10.0,5
115,Pentan,49.7,05.01.2022,24.0,10.0,6
116,Pentan,49.7,05.01.2022,24.0,10.0,7
117,Pentan,49.7,05.01.2022,24.0,10.0,8
118,Pentan,49.7,05.01.2022,24.0,10.0,9
119,Pentan,49.7,05.01.2022,24.0,10.0,10
120,Pentan,52.3,05.01.2022,24.0,5.0,1
121,Pentan,52.3,05.01.2022,24.0,5.0,2
122,Pentan,52.3,05.01.2022,24.0,5.0,3
123,Pentan,52.3,05.01.2022,24.0,5.0,4
124,Pentan,52.3,05.01.2022,24.0,5.0,5
125,Pentan,52.3,05.01.2022,24.0,5.0,6
126,Pentan,52.3,05.01.2022,24.0,5.0,7
127,Pentan,52.3,05.01.2022,24.0,5.0,8
128,Pentan,52.3,05.01.2022,24.0,5.0,9
129,Pentan,52.3,05.01.2022,24.0,5.0,10
130,Pentan,52.3,05.01.2022,24.0,10.0,1
131,Pentan,52.3,05.01.2022,24.0,10.0,2
132,Pentan,52.3,05.01.2022,24.0,10.0,3
133,Pentan,52.3,05.01.2022,24.0,10.0,4
134,Pentan,52.3,05.01.2022,24.0,10.0,5
135,Pentan,52.3,05.01.2022,24.0,10.0,6
136,Pentan,52.3,05.01.2022,24.0,10.0,7
137,Pentan,52.3,05.01.2022,24.0,10.0,8
138,Pentan,52.3,05.01.2022,24.0,10.0,9
139,Pentan,52.3,05.01.2022,24.0,10.0,10
140,Pentan,100.8,05.01.2022,24.0,5.0,1
141,Pentan,100.8,05.01.2022,24.0,5.0,2
142,Pentan,100.8,05.01.2022,24.0,5.0,3
143,Pentan,100.8,05.01.2022,24.0,5.0,4
144,Pentan,100.8,05.01.2022,24.0,5.0,5
145,Pentan,100.8,05.01.2022,24.0,5.0,6
146,Pentan,100.8,05.01.2022,24.0,5.0,7
147,Pentan,100.8,05.01.2022,24.0,5.0,8
148,Pentan,100.8,05.01.2022,24.0,5.0,9
149,Pentan,100.8,05.01.2022,24.0,5.0,10
